id,naslov,cena,velikost,leto,nadstropje,prodajalec,opis
6061115,"LJ. BEŽIGRAD, ZELENI DVOR_SAVSKA CESTA",198000.00,130.24,2000,1,COOP nepremiènine d.o.o.,"130,24 m2, 2-sobno, poslovni apartma, zgrajeno l. 2000, 1/6 nad., zelo posebno in razkošno dvosobno stanovanje, prodamo...."
6016744,"LJ. ŠIŠKA, MANJŠI VILA BLOK, GARAŽA",198000.00,74.00,1993,2,Mreža nepremiènin d.o.o.,"74 m2, 3-sobno, zgrajeno l. 1993, 2/2 nad., prodamo. Cena: 198.000,00 EUR"
5922390,LJ. BEŽIGRAD,198000.00,95.00,1935,2,"Stoja trade, d.o.o., Ljubljana","95 m2, 3-sobno, zgrajeno l. 1935, adaptirano l. 1990, 720 m2 zemljišèa, 2. nad., V prenovljeni poslovno-stanovanjski sta..."
6054016,LJ. MOSTE,197000.00,110.90,1900,P,LJUBLJANA NEPREMIÈNINE d.o.o.,"110,9 m2, 4-sobno, zgrajeno l. 1900, adaptirano l. 2012, 296 m2 zemljišèa, P/1 nad., ; stanovanje v pritlièju dvostanova..."
6056979,"LJ. MOSTE, FUŽINE",197000.00,94.80,1986,1,MESTO NEPREMIÈNIN d.o.o.,"94,8 m2, 4-sobno, zgrajeno l. 1986, adaptirano l. 2015, 1/4 nad., zelo svetlo, prostorno z odliènim tlorisom v zelo mirn..."
6056945,"LJ. ŠIŠKA, SPODNJA",197000.00,87.00,1903,VP,MESTO NEPREMIÈNIN d.o.o.,"87 m2, 3-sobno, zgrajeno l. 1903, adaptirano l. 2016, VP/3 nad., obnovljeno staromešèansko stanovanje v Spodnji Šiški, p..."
6041083,"SP. ŠIŠKA, BLIŽINA CENTRA IN TIVOLIJA",197000.00,97.60,1903,VP,Zasebna ponudba,"97,6 m2, 3-sobno, v stavbi zgrajeni l. 1903, adaptirano l. 2016, 25 m2 zemljišèa, VP/2 nad., svetlo staromešèansko stano..."
6048644,"LJ. MOSTE, BLIŽINA ZDRAVSTVENEGA DOMA",197000.00,110.92,1900,P,"Stoja trade, d.o.o., Ljubljana","110,92 m2, 4-sobno, zgrajeno l. 1900, adaptirano l. 2000, 180 m2 zemljišèa, pritlièje, Prodamo etažirano stanovanje, z l..."
5711219,"LJ. VIÈ, DOLGI MOST",196000.00,77.00,1997,2,LJUBLJANA NEPREMIÈNINE d.o.o.,"77 m2, 4-sobno, zgrajeno l. 1997, adaptirano l. 2012, 2/2 nad., ; lepo, urejeno stanovanje na Dolgem mostu;, prodamo. Ce..."
6024242,LJ. ŠIŠKA,195000.00,102.30,1939,M,MESTO NEPREMIÈNIN d.o.o.,"102,3 m2, 4-sobno, zgrajeno l. 1939, adaptirano l. 2010, M/2 nad., prenovljeno in zelo svetlo mansardno stanovanje z vis..."
6028907,RAKOVNIK,195000.00,73.00,1910,P,LJUBLJANA NEPREMIÈNINE d.o.o.,"73 m2, 3-sobno, zgrajeno l. 1910, adaptirano l. 2013, 104 m2 zemljišèa, pritlièje, Stanovanje v 4 stanovanjski hiši v bl..."
5926326,LJ. VIÈ,195000.00,140.00,1976,2,LJUBLJANA NEPREMIÈNINE d.o.o.,"140 m2, 4-sobno, zgrajeno l. 1976, adaptirano l. 2005, 2/2 nad., prostorno in popolnoma prenovljeno, na odlièni lokaciji..."
6039102,"LJ. BEŽIGRAD, DUNAJSKA CESTA",195000.00,73.60,2011,1,"Abstract nepremiènine, Igor Kerin s.p.","73,6 m2, 2-sobno, zgrajeno l. 2011, 1. nad., v veèstanovanjski stavbi &quot;Rezidenca Ruski car&quot;, V lega, loža 7,80..."
6060417,"ÈRNUÈE, ÈRNUŠKA GMAJNA",195000.00,105.90,2006,2,LJUBLJANA NEPREMIÈNINE d.o.o.,"105,9 m2, 4-sobno, zgrajeno l. 2006, 18,8 m2 zemljišèa, 2/3 nad., Èrnuška gmajna, 4 sobno stanovanje z veliko teraso, J ..."
6052322,LJ. BEŽIGRAD,195000.00,92.26,1939,2,"Stoja trade, d.o.o., Ljubljana","92,26 m2, 2,5-sobno, zgrajeno l. 1939, adaptirano l. 2003, 2. nad., Lokacija Dunajska, blizu Centra, mešèansko, adaptira..."
6030022,ŠENTVID,195000.00,112.80,1939,P,Zasebna ponudba,"112,8 m2, 5 in veèsobno, dupleks, zgrajeno l. 1939, adaptirano l. 2006, P/4 nad., lasten vhod, prostorno, 2 kopalnici, 2..."
6049791,"LJ. ŠIŠKA, CELOVŠKI DVORI",193000.00,92.90,2009,4,"Ornis, nepremiènine, zastopanje in svetovanje d.o.o.","92,9 m2, 3-sobno, zgrajeno l. 2009, 4/7 nad., 3sobno stanovanje v urejenem bloku, odprt razgled, prodamo. Cena: 193.000,..."
6054156,LJ. BEŽIGRAD,193000.00,60.90,1965,2,Mreža nepremiènin d.o.o.,"60,9 m2, 3-sobno, zgrajeno l. 1965, adaptirano l. 2014, 2/4 nad., prodamo. Cena: 193.000,00 EUR"
6042265,LJ. CENTER,190000.00,44.70,2008,P,Rocco nepremiènine d.o.o.,"44,7 m2, 2-sobno, zgrajeno l. 2008, 69 m2 zemljišèa, pritlièje, Prodamo prijetno 2 sobno ATRIJSKO stanovanje na odlièni ..."
5786395,"TACEN, DOBRA LOKACIJA",190000.00,116.50,2009,M,"REMAX Vogal, Nepremièninska družba, d.o.o.","116,5 m2, 3-sobno, dupleks, novogradnja - zgr. l. 2009, mansarda, Na èudoviti lokaciji obdani z naravo s èodovitim razgl..."
6054339,"LJ. MOSTE, ZALOG",190000.00,99.50,1960,2,Rocco nepremiènine d.o.o.,"99,5 m2, 4-sobno, zgrajeno l. 1960, adaptirano l. 2009, 2. nad., Na odlièni lokaciji v urejeni soseski v Zalogu se v bli..."
6059643,LJ. VIÈ,190000.00,82.50,1955,P,LJUBLJANA NEPREMIÈNINE d.o.o.,"82,5 m2, 2,5-sobno, zgrajeno l. 1955, adaptirano l. 2009, pritlièje, Na Vièu, na lepi lokaciji, prodamo prekrasno opreml..."
6009915,"LJ. ŠIŠKA, VODNIKOVA 4 - STARA CERKEV",190000.00,101.00,1985,1,Zasebna ponudba,"101 m2, 4-sobno, zgrajeno l. 1985, 1/10 nad., prodamo. Cena: cca 190.000,00 EUR"
5947648,"LJ. BEŽIGRAD, ŽUPANÈIÈEVA JAMA",189900.00,62.00,1994,5,1.AMS d.o.o.,"62 m2, 2-sobno, zgrajeno l. 1994, 5/6 nad., Parkirno mesto v kletni etaži. Zastekljena loža. Lega Vzhod/Jug. Dve klimats..."
6017389,LJ. VIÈ,189000.00,73.00,2004,2,Arcimboldo d.o.o.,"73 m2, 3-sobno, dupleks, zgrajeno l. 2004, 2/3 nad., stanovanje s prostorno garažo, prodamo. Cena: 189.000,00 EUR"
6027812,"POLJE, ZALOG",189000.00,116.00,1972,1,LJUBLJANA NEPREMIÈNINE d.o.o.,"116 m2, 3-sobno, zgrajeno l. 1972, adaptirano l. 2002, 450 m2 zemljišèa, 1/1 nad., ; zelo lepo urejeno stanovanje z vrto..."
6042666,"LJ. BEŽIGRAD, ATRIJ UL. METODA MIKUŽA RAPOVA J",189000.00,62.80,1983,P,"Visa d.o.o., Ljubljana","62,8 m2, 3-sobno, zgrajeno l. 1983, adaptirano l. 2011, pritlièje, komfortno, vsi prikljuèki, klima, stanovanje 62,80 m2..."
6059894,"LJ. BEŽIGRAD, BLIŽINA PLEÈNIKOVEGA STADIONA",189000.00,108.80,2002,2,"STAN nepremiènine d.o.o., Ljubljana","108,8 m2, 4-sobno, adaptirano l. 2002, 2/4 nad., Stanovanje v okolju Pleènikovega stadiona ponuja izjemne poglede proti ..."
6003339,LJ. BEŽIGRAD,189000.00,108.80,1932,3,"Stoja trade, d.o.o., Ljubljana","108,8 m2, 3-sobno, zgrajeno l. 1932, adaptirano l. 2000, 3. nad., Prodamo razgibano stanovanje v bližini celotne infrast..."
5990230,"LJ. BEŽIGRAD, MOŽNOST PREDELAVE V 1 SOBNO",188582.93,55.32,2014,3,"Nepremiènine M8, Lea Kavaliè s.p.","55,32 m2, garsonjera, zgrajena l. 2014, 3/11 nad., Prodamo prostorno garsonjero z ložo. Stanovanje je orientirano na vzh..."
6059796,"LJ. BEŽIGRAD, GLAVARJEVA",187500.00,62.20,1965,2,Feniks nepremiènine d.o.o.,"62,2 m2, 3-sobno, zgrajeno l. 1965, 2/4 nad., odlièna lokacija z vso infrastrukturo v neposredni bližini, ter ogrevano g..."
6057312,LJ. ŠIŠKA,187409.24,62.36,2018,P,"Stoja trade, d.o.o., Ljubljana","62,36 m2, 2-sobno, zgrajeno l. 2018, pritlièje, Prodamo 2-sobno pritlièno stanovanje v Šiški v soseski Belle vie Tivoli...."
6055710,RAKOVNIK,187000.00,47.63,2016,2,Rocco nepremiènine d.o.o.,"47,63 m2, 2-sobno, zgrajeno l. 2016, 2/4 nad., Prednost stanovanja je prijetna loža, ki bo skupaj s funkcionalno razpore..."
6059094,"LJ. ŠIŠKA, NASPROTI HALE TIVOLI",185000.00,80.00,1930,3,"REMAX Vogal, Nepremièninska družba, d.o.o.","80 m2, 3-sobno, zgrajeno l. 1930, adaptirano l. 2010, 3/3 nad., prodamo. Cena: 185.000,00 EUR"
6057348,"LJ. ŠIŠKA, UL. ANE ZIHERLOVE",185000.00,69.90,1970,1,"Nepremièninska agencija ""TLORIS"" Miro Toriæ s.p., Poslovna enota","69,9 m2, 3-sobno, zgrajeno l. 1970, adaptirano l. 2010, 1/3 nad., prodamo. Cena: 185.000,00 EUR"
6059082,"LJ. CENTER, VODMAT - GRABLOVIÈEVA ULICA",185000.00,89.00,2006,5,Nepremiènine Plus d.o.o.,"89 m2, 3-sobno, adaptirano l. 2006, 5/7 nad., prodamo. Cena: 185.000,00 EUR"
6061220,"LJ. ŠIŠKA, VILA V BLIŽINI ROŽNIKA",185000.00,103.77,2010,2,"STAN nepremiènine d.o.o., Ljubljana","103,77 m2, 4-sobno, &quot;penthouse&quot;, adaptirano l. 2010, 2/2 nad., V enem od najbolj iskanem predelu Ljubljane, v ..."
6050974,BROD,185000.00,60.70,2004,P,Zasebna ponudba,"60,7 m2, 2-sobno, v stavbi zgrajeni l. 2004, 21 m2 zemljišèa, pritlièje, LJ. brod, tacenska trojka, v neposredni bližini..."
6053573,"LJ. BEŽIGRAD, SAVSKI KAMEN",185000.00,56.00,2007,3,Zasebna ponudba,"56 m2, 2-sobno, zgrajeno l. 2007, 3/5 nad., svetlo in opremljeno stanovanje z lastnim parkirnim mestom v garaži in velik..."
6060426,"LJ. BEŽIGRAD, KRŽIÈEVA ULICA",185000.00,83.00,1931,3,Zasebna ponudba,"83 m2, 3-sobno, zgrajeno l. 1931, adaptirano l. 2008, 3/3 nad., ob Bežigrajskem Dvoru, prodamo. Cena: 185.000,00 EUR"
5988490,"LJ. ŠIŠKA, DRAVLJE",185000.00,100.00,2004,P,Zasebna ponudba,"100 m2, 3,5-sobno, dupleks, adaptirano l. 2004, 150 m2 zemljišèa, pritlièje, prodamo. Cena: cca 185.000,00 EUR"
6052821,"DOLGI MOST, VIÈ",184900.00,135.00,2016,2,Zasebna ponudba,"135 m2, 4,5-sobno, zgrajeno l. 2016, 2/2 nad., Stanovanje v zadnji etaži trostanovanjskega objekta, mansardno s polno vi..."
6036880,LJ. CENTER,183000.00,73.60,1962,9,"Stoja trade, d.o.o., Ljubljana","73,6 m2, 3-sobno, zgrajeno l. 1962, adaptirano l. 2016, 9. nad., Prodamo èudovito, klimatizirano, svetlo in zelo prostor..."
6056353,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",181950.00,77.70,2016,1,MESTO NEPREMIÈNIN d.o.o.,"77,7 m2, 4-sobno, zgrajeno l. 2016, 1/3 nad., novogradnja, nizkoenergetsko, prezraèevanje z rekuperatorjem, kupec ne pla..."
5970832,"RUDNIK, BARJANSKA ULICA, TRNOVSKA VRATA",181000.00,54.80,2005,2,Vilmar nepremiènine d.o.o.,"54,8 m2, 1-sobno, zgrajeno l. 2005, 2/3 nad., opremljeno 1sobno stanovanje s parkiriscem v garazni hisi, Od tega velikos..."
6048875,"LJ. MOSTE, ŠTEPANJSKO NASELJE",180000.00,83.00,1976,3,MESTO NEPREMIÈNIN d.o.o.,"83 m2, 3-sobno, zgrajeno l. 1976, adaptirano l. 2006, 3/4 nad., zelo prostorno, v mirnem predelu mesta, prijetno prenovl..."
6057775,NOVE JARŠE,180000.00,150.70,1940,VP,Maridom nepremiènine d.o.o.,"150,7 m2, 3-sobno, zgrajeno l. 1940, adaptirano l. 1984, VP/1 nad., Nove Jarše, blizu BTC, mirna lokacija, na Križni uli..."
6059883,BEŽIGRAJSKI DVOR,180000.00,84.10,1931,3,"Livo d.o.o., PE nepremièninsko posredovanje","84,1 m2, 3-sobno, zgrajeno l. 1931, adaptirano l. 2010, 3/3 nad., Kržièeva, odlièna lokacija, funkcionalna razporeditev,..."
6059878,LJ. MOSTE,180000.00,84.00,1976,3,"Livo d.o.o., PE nepremièninsko posredovanje","84 m2, 3-sobno, zgrajeno l. 1976, adaptirano l. 2012, 3/4 nad., svetlo in prostorno stanovanje z ložo, v celoti obnovlje..."
6060742,LJ. MOSTE,180000.00,84.00,1976,3,Neptun nepremiènine - Borut Vodopivec s.p.,"84 m2, 3-sobno, zgrajeno l. 1976, adaptirano l. 2009, 3/4 nad., Na odlièni lokaciji v Štepanjskem naselju popolnoma pren..."
6061010,"LJ. BEŽIGRAD, KRŽIÈEVA",180000.00,84.10,1968,4,Feniks nepremiènine d.o.o.,"84,1 m2, 3-sobno, zgrajeno l. 1968, 4/4 nad., se nahaja na odlièni lokaciji, ki bo preprièala vse, ki si v bližini želij..."
6046575,"BEŽIGRAJSKI DVOR, KRŽIÈEVA ULICA 6",180000.00,84.00,1968,4,Zasebna ponudba,"84 m2, 3-sobno, zgrajeno l. 1968, adaptirano l. 2010, 4/4 nad., prodamo. Cena: 180.000,00 EUR"
6060733,"LJ. BEŽIGRAD, MED BEŽIGRAJSKIM DVOROM IN PLAVO LAGUNO",180000.00,84.00,1968,3,Mreža nepremiènin d.o.o.,"84 m2, 3-sobno, zgrajeno l. 1968, adaptirano l. 2010, 3/3 nad., prodamo. Cena: 180.000,00 EUR"
6001604,VIŽMARJE,179000.00,372.00,1926,K+P+1,"Rebernik nepremiènine, Samo Rebernik s.p.","372 m2, 5 in veèsobno, zgrajeno l. 1926, 855 m2 zemljišèa, K+P+1/K+P+1+M, POTENCIAL za INVESTICIJO. V Vižmarjih prodamo ..."
6054542,"LJ. ŠIŠKA, BRILEJEVA UL., NAKUP BREZ PROVIZ",179000.00,98.80,1983,2,"Gratek, Kohne in partner k.d.","98,8 m2, 4-sobno, zgrajeno l. 1983, 2/9 nad., Stanovanje se nahaja v mirnem okolju, je svetlo, prostorno veliko 93,4 m2,..."
6059254,"JARŠE, ZELO LEPO STANOVANJE",179000.00,79.20,1982,7,MKA nepremiènine d.o.o.,"79,2 m2, 3-sobno, zgrajeno l. 1982, 7/12 nad., Na Beblerjevem trgu, se nahaja zelo lepo in svetlo 3 sobno stanovanje v n..."
6054170,"ROŽNA DOLINA, NA VIÈU V LJUBLJANI",179000.00,148.00,1968,1,Zasebna ponudba,"148 m2, 4-sobno, zgrajeno l. 1968, adaptirano l. 2013, 1/2 nad., Prodam 4 sobno stanovanje v Rožni dolini v Ljubljani, z..."
6025667,ZG. ŠIŠKA,179000.00,107.10,1947,1,"Stoja trade, d.o.o., Ljubljana","107,1 m2, 4-sobno, zgrajeno l. 1947, adaptirano l. 2005, 1. nad., Prodamo prostorno, svetlo, klimatizirano in funkcional..."
6015582,"LJ. VIÈ, LANOVO - ŠKOFLJICA",178950.00,122.90,2016,2,Nepremiènine Plus d.o.o.,"122,9 m2, 4-sobno, zgrajeno l. 2016, 2/4 nad., Novo naselje Lanovo - Škofljica, prodamo. Cena: 178.950,00 EUR"
6056349,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",178950.00,78.50,2016,2,MESTO NEPREMIÈNIN d.o.o.,"78,5 m2, 4-sobno, zgrajeno l. 2016, 2/2 nad., novogradnja, nizkoenergetsko, prezraèevanje z rekuperatorjem, kupec ne pla..."
6056344,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",178900.00,78.10,2016,1,MESTO NEPREMIÈNIN d.o.o.,"78,1 m2, 4-sobno, zgrajeno l. 2016, 1/3 nad., novogradnja, nizkoenergetsko, prezraèevanje z rekuperatorjem, kupec ne pla..."
6056346,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",178900.00,78.00,2016,2,MESTO NEPREMIÈNIN d.o.o.,"78 m2, 4-sobno, zgrajeno l. 2016, 2/3 nad., novogradnja, nizkoenergetsko, prezraèevanje z rekuperatorjem, kupec ne plaèa..."
6047550,"LJ. ŠIŠKA, KOSEZE - TERASASTI BLOKI",178000.00,76.81,1978,3,HDS d.o.o.,"76,81 m2, 2,5-sobno, zgrajeno l. 1978, 3/4 nad., dvoinpolsobno stanovanje, neto uporabne površine 75,41 m2 se nahaja v t..."
6058108,"LJ. ŠIŠKA, KOSEZE",178000.00,76.20,1978,3,"STAN nepremiènine d.o.o., Ljubljana","76,2 m2, 3-sobno, zgrajeno l. 1978, 3/4 nad., Locirano na lokaciji kjer je praktièno vsa infrastruktura na dlani in zago..."
6058696,"LJ. ŠIŠKA, KOSEZE - TERASASTI BLOKI",178000.00,76.81,1978,3,HDS d.o.o.,"76,81 m2, 2,5-sobno, zgrajeno l. 1978, 3/4 nad., dvoinpolsobno stanovanje, neto uporabne površine 75,41 m2 se nahaja v t..."
6058441,LJ. BEŽIGRAD,178000.00,84.10,1968,3,Agencia d.o.o.,"84,1 m2, 3-sobno, zgrajeno l. 1968, adaptirano l. 2010, 3/3 nad., Za Bežigradom nasproti Astre PRODAMO prostorno 3-sobno..."
6058651,"LJ. ŠIŠKA, KOSEZE",178000.00,76.20,1978,3,"STAN nepremiènine d.o.o., Ljubljana","76,2 m2, 3-sobno, zgrajeno l. 1978, 3/4 nad., Locirano na lokaciji kjer je praktièno vsa infrastruktura na dlani in zago..."
6055743,RAKOVNIK,176000.00,47.63,2016,1,Rocco nepremiènine d.o.o.,"47,63 m2, 2-sobno, zgrajeno l. 2016, 1/4 nad., Funkcionalno zasnovano stanovanje s prijetnim balkonom in pridihom modern..."
6058636,LJ. ŠIŠKA,176000.00,70.90,1964,2,"INBA, nepremièninska družba, d.o.o.","70,9 m2, 3-sobno, zgrajeno l. 1964, adaptirano l. 2009, 2/4 nad., Kvalitetno 3-sobno stanovanje v bližini Tivolija z bal..."
6046744,"ZUPANÈIÈEVA JAMA, ŠTIHOVA ULICA",175000.00,68.50,2000,3,Rojal invest d.o.o.,"68,5 m2, 2,5-sobno, zgrajeno l. 2000, 3/6 nad., prodamo. Cena: 175.000,00 EUR"
6050745,"LJ. MOSTE, FUŽINE - ATRIJSKO",175000.00,69.60,1986,P,KU-MI nepremiènine d.o.o.,"69,6 m2, 2,5-sobno, zgrajeno l. 1986, adaptirano l. 2015, 46 m2 zemljišèa, P/14 nad., kompletno v celoti kvalitetno adap..."
6021674,"FUŽINE, ATRIJSKO",175000.00,70.00,2015,P,KU-MI nepremiènine d.o.o.,"70 m2, 2,5-sobno, adaptirano l. 2015, 46 m2 zemljišèa, P/14 nad., kompletno v celoti kvalitetno adaptirano stanovanje l...."
6054146,"BTC, ŠMARTINSKA CESTA 72, ATRIUM",175000.00,58.80,2009,1,Apolonij d.o.o.,"58,8 m2, 2-sobno, zgrajeno l. 2009, 1/6 nad., V urejenem naselju in na odlièni lokaciji posredujemo pri prodaji opremlje..."
6055491,"LJ. ŠIŠKA, VIŽMARJE, Z VRTOM",175000.00,84.00,1955,VP,"Erjavec nepremiènine, Erjavec Dušan s.p.","84 m2, 3-sobno, zgrajeno l. 1955, adaptirano l. 1985, 254 m2 zemljišèa, VP/2 nad., V urejeni tristanovanjski hiši prodam..."
6059816,LJ. ŠIŠKA,175000.00,69.00,1974,10,Enepremiènine Ana Ocvirk s.p.,"69 m2, 3-sobno, zgrajeno l. 1974, adaptirano l. 2010, 10/10 nad., prodamo. Cena: 175.000,00 EUR"
6059557,LJ. ŠIŠKA,175000.00,95.60,1978,5,MKA nepremiènine d.o.o.,"95,6 m2, 4-sobno, zgrajeno l. 1978, 5/11 nad., Na Kunaverjevi ulici se nahaja 4 sobno stanovanje v neto površini 88,8 m2..."
6040392,"ŠTEPANJSKO NASELJE, NUSDORFERJEVA",174000.00,87.50,2002,P,Real Go d.o.o.,"87,5 m2, 3-sobno, zgrajeno l. 2002, 3/3 nad., veliko svetlobe, opremljeno, prostorno, obèutek neutesnjenosti, razgledi p..."
6050485,"LJ. VIÈ, VRHOVCI",173000.00,95.00,2001,2,Hiša nepremiènine 1 d.o.o.,"95 m2, 4-sobno, zgrajeno l. 2001, 2. nad., prodamo. Cena: 173.000,00 EUR"
6060631,"RUDNIK, KNEZOV ŠTRADON, ATRIJSKO",173000.00,56.50,2008,P,PREMIER NEPREMIÈNINE posredovanje d.o.o.,"56,5 m2, 2-sobno, zgrajeno l. 2008, 31 m2 zemljišèa, pritlièje, Vrhunsko 2-sobno stanovnaje z 31 m2 atrija, mirna lokaci..."
6035645,LJ. ŠIŠKA,172500.00,65.30,2016,1,Nepremiènine Plus d.o.o.,"65,3 m2, 3-sobno, zgrajeno l. 2016, 1/4 nad., nova soseska v zelenem okolju, prodamo. Cena: 172.500,00 EUR"
6059771,"LJ. BEŽIGRAD, VOJKOVA, BLIZU LINHARTOVE",172000.00,76.00,1980,2,"Erjavec nepremiènine, Erjavec Dušan s.p.","76 m2, 3,5-sobno, zgrajeno l. 1980, 2/4 nad., V urejenem bloku z garažno hišo, (parkiranja za en avto, za drug avto zuna..."
6012713,ŠMARTNO POD ŠMARNO GORO,170000.00,96.40,1992,1,"STAN nepremiènine d.o.o., Ljubljana","96,4 m2, 3,5-sobno, zgrajeno l. 1992, 1/2 nad., Prostorsko izkorišèeno stanovanje s funkcionalnim tlorisom se razprostri..."
6001232,"LJ. CENTER, FRIŠKOVEC",170000.00,106.00,1929,PK,Arcimboldo d.o.o.,"106 m2, 3,5-sobno, zgrajeno l. 1929, adaptirano l. 2009, PK/2 nad., stanovanje z garažo (14,3 m2), prodamo. Cena: 170.00..."
6047211,"LJ. CENTER, TABOR",170000.00,106.00,1920,PK,LJUBLJANA NEPREMIÈNINE d.o.o.,"106 m2, 4-sobno, zgrajeno l. 1920, adaptirano l. 2010, 567 m2 zemljišèa, polklet, V staromešèanski vili, zgrajeni leta 1..."
6050227,LJ. BEŽIGRAD,170000.00,114.30,1927,1,"Advice, d.o.o.","114,3 m2, 4-sobno, dupleks, zgrajeno l. 1927, adaptirano l. 1985, 1. nad., stanovanje na odlièni mirni lokaciji. Ima CK-..."
6045389,"KOSEZE, TERASASTI BLOKI, BRATOV UÈAKAR",170000.00,78.10,1978,3,Damijan Meško s.p.,"78,1 m2, 3-sobno, zgrajeno l. 1978, 3/4 nad., Trisobno stanovanje v 3. nadstropju v terasastih blokih. Velika dnevna sob..."
6059692,"LJ. BEŽIGRAD, BEŽIGRAJSKI DVOR - PERIÈEVA",170000.00,90.00,1956,4,"JA Invest, d.o.o.","90 m2, 3-sobno, zgrajeno l. 1956, adaptirano l. 1956, 4/4 nad., Bežigrad, Perièeva, neposredna bližina centra, urejen kl..."
6032030,"TACEN, ODLIÈNA, BLIZU AC IN LPP, ATRIJ",170000.00,114.03,2009,P,"REMAX Vogal, Nepremièninska družba, d.o.o.","114,03 m2, 2-sobno, zgrajeno l. 2009, 29,7 m2 zemljišèa, pritlièje, Na lepi lokaciji se prodaja dvosobno stanovanje neto..."
6060808,DRAVLJE,170000.00,80.00,1974,1,Eventum d.o.o.,"80 m2, 3-sobno, zgrajeno l. 1974, adaptirano l. 2010, 1/4 nad., na eni izmed najboljših mikrolokacij je naprodaj prostor..."
